date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,outcome,home_advantage,scoreline,home_form,away_form,home_h2h,away_h2h,home_goals_scored,home_goals_conceded,away_goals_scored,away_goals_conceded,home_elo,away_elo,elo_diff,home_weighted_form,away_weighted_form,home_days_rest,away_days_rest,home_goal_diff,away_goal_diff,elo_closeness,form_closeness,combined_attack,combined_defence,expected_goals,home_under25_rate,away_under25_rate,home_clean_sheet_rate,away_clean_sheet_rate,combined_under25,combined_clean_sheets,draw_pressure_index,h2h_draw_rate
2018-03-22,Bahrain,Palestine,0.0,0.0,Friendly,Riffa,Bahrain,False,2018,Draw,1,0.0-0.0,0.4,0.7,0.4,0.6,1.4,0.6,3.3,0.7,1520.3616005496658,1584.2479098480296,-63.88630929836381,0.375,0.676,90,90,0.7999999999999999,2.5999999999999996,0.015411571575164566,0.7692307692307694,4.699999999999999,1.2999999999999998,2.9999999999999996,0.6,0.5,0.6,0.5,0.55,0.55,0.303,0.0
2018-03-22,China PR,Wales,0.0,6.0,Friendly,Nanning,China PR,False,2018,Away win,1,0.0-6.0,0.4,0.3,0.5,0.5,1.5,1.4,0.8,0.7,1650.4902586240498,1743.409464925329,-92.91920630127925,0.383,0.273,90,90,0.10000000000000009,0.10000000000000009,0.010647449434273799,0.9090909090909091,2.3,2.0999999999999996,2.1999999999999997,0.6,1.0,0.2,0.4,0.8,0.30000000000000004,0.24,0.25
2018-03-22,Dominican Republic,Turks and Caicos Islands,4.0,0.0,Friendly,Santo Domingo,Dominican Republic,False,2018,Home win,1,4.0-0.0,0.5,0.1,0.5,0.5,1.9,1.5,0.6,4.1,1469.5747827239038,1176.0221734995514,293.5526092243524,0.478,0.096,90,90,0.3999999999999999,-3.4999999999999996,0.0033949792623915553,0.7142857142857143,2.5,5.6,4.05,0.2,0.2,0.4,0.0,0.2,0.2,0.04,0.25
2018-03-22,Denmark,Panama,1.0,0.0,Friendly,Brøndby,Denmark,False,2018,Home win,1,1.0-0.0,0.5,0.3,0.5,0.5,1.9,0.6,1.5,1.2,1823.1893245044032,1690.5492422845493,132.64008221985387,0.478,0.268,70,90,1.2999999999999998,0.30000000000000004,0.007482784980294166,0.8333333333333334,3.4,1.7999999999999998,2.5999999999999996,0.6,0.4,0.4,0.3,0.5,0.35,0.175,0.25
2018-03-22,Algeria,Tanzania,4.0,1.0,Friendly,Algiers,Algeria,False,2018,Home win,1,4.0-1.0,0.4,0.3,0.5,0.5,2.0,1.3,1.1,1.7,1661.7031844588528,1437.692631657276,224.01055280157675,0.385,0.289,90,90,0.7,-0.5999999999999999,0.004444236003819073,0.9090909090909091,3.1,3.0,3.05,0.2,0.6,0.3,0.2,0.4,0.25,0.1,0.5
2018-03-22,Belize,Grenada,4.0,2.0,Friendly,Belmopan,Belize,False,2018,Home win,1,4.0-2.0,0.3,0.3,0.5,0.5,1.1,0.9,1.1,2.0,1444.7962601719682,1300.4994980033696,144.29676216859866,0.285,0.285,90,90,0.20000000000000007,-0.8999999999999999,0.006882465824253024,1.0,2.2,2.9,2.55,0.6,0.4,0.4,0.2,0.5,0.30000000000000004,0.15,0.0
2018-03-22,Faroe Islands,Latvia,1.0,1.0,Friendly,San Pedro Alcántara,Spain,True,2018,Draw,0,1.0-1.0,0.2,0.1,0.5,0.5,0.4,1.6,0.9,2.2,1308.55572789894,1324.2138936502793,-15.658165751339311,0.162,0.065,90,47,-1.2000000000000002,-1.3000000000000003,0.06003061891250544,0.9090909090909091,1.3,3.8000000000000003,2.5500000000000003,0.8,0.3,0.5,0.2,0.55,0.35,0.192,0.5
2018-03-22,Nicaragua,Cuba,3.0,1.0,Friendly,Managua,Nicaragua,False,2018,Home win,1,3.0-1.0,0.2,0.1,0.4,0.6,0.6,1.5,0.4,1.9,1346.254556107089,1308.2609378618688,37.993618245220205,0.185,0.094,90,90,-0.9,-1.5,0.025645222090221877,0.9090909090909091,1.0,3.4,2.2,0.6,0.6,0.2,0.2,0.6,0.2,0.12,0.2
2018-03-22,Malaysia,Mongolia,2.0,2.0,Friendly,Kuala Lumpur,Malaysia,False,2018,Draw,1,2.0-2.0,0.1,0.3,0.5,0.5,0.8,1.8,1.3,3.3,1240.7603633215274,1215.2541619444053,25.506201377122125,0.093,0.285,90,90,-1.0,-1.9999999999999998,0.037727020396936775,0.8333333333333334,2.1,5.1,3.5999999999999996,0.5,0.2,0.1,0.3,0.35,0.2,0.07,0.25
2018-03-22,Philippines,Fiji,3.0,2.0,Friendly,Manila,Philippines,False,2018,Home win,1,3.0-2.0,0.3,0.1,0.5,0.5,1.5,2.0,0.7,1.4,1297.1591295491476,1490.1405610874388,-192.9814315382912,0.286,0.093,90,90,-0.5,-0.7,0.005155132592175988,0.8333333333333334,2.2,3.4,2.8,0.4,0.7,0.2,0.2,0.55,0.2,0.11,0.25
